RUN	controllersTest.ViewControllerTest	viewcontrollertest	1630571877412	 	3.1.1
USER	Proposals Scenario	3	START	1630571879294	1630571879294
USER	Validators Scenario	4	START	1630571879294	1630571879294
USER	Blocks Scenario	1	START	1630571879293	1630571879293
USER	Transactions Scenario	2	START	1630571879294	1630571879294
REQUEST	3		Proposals_Scenario_GET	1630571879363	1630571879484	OK	 
REQUEST	4		Validators_Scenario_GET	1630571879363	1630571879484	OK	 
REQUEST	2		Block_Scenario_GET	1630571879363	1630571879483	OK	 
REQUEST	1		Block_Scenario_GET	1630571879363	1630571879480	OK	 
REQUEST	2		Transaction_Hash_Scenario_GET	1630571881515	1630571881559	OK	 
REQUEST	4		Validators_Address_Scenario_GET	1630571881514	1630571881559	OK	 
REQUEST	3		Proposals_Id_Scenario_GET	1630571881514	1630571881559	OK	 
REQUEST	1		Block_Height_Scenario_GET	1630571881508	1630571881569	OK	 
USER	Transactions Scenario	2	END	1630571879294	1630571883556
USER	Proposals Scenario	3	END	1630571879294	1630571883556
USER	Validators Scenario	4	END	1630571879294	1630571883556
USER	Blocks Scenario	1	END	1630571879293	1630571883564
